x_value,total_1,total_2
285,1340,1045
286,1336,1046
287,1342,1044
288,1349,1048
289,1356,1046
290,1353,1047
291,1358,1043
292,1361,1045
293,1361,1046
294,1358,1048
295,1362,1050
296,1361,1055
297,1363,1056
298,1360,1057
299,1356,1054
300,1353,1053
301,1348,1054
302,1356,1051
303,1356,1046
304,1361,1043
305,1367,1040
306,1370,1038
307,1371,1037
308,1379,1041
309,1374,1044
310,1372,1050
311,1378,1050
312,1386,1053
313,1384,1055
314,1388,1057
315,1392,1057
316,1389,1058
317,1392,1061
318,1386,1060
319,1392,1056
320,1391,1052
321,1393,1048
322,1390,1050
323,1392,1047
324,1388,1045
325,1388,1050
326,1385,1056
327,1392,1052
328,1391,1055
329,1392,1050
330,1391,1045
331,1388,1051
332,1396,1054
333,1396,1051
334,1391,1055
335,1389,1051
336,1390,1049
337,1392,1055
338,1397,1061
339,1396,1063
340,1391,1059
341,1394,1056
342,1390,1053
343,1392,1049
344,1397,1054
345,1393,1056
346,1400,1054
347,1401,1049
348,1395,1053
349,1397,1051
350,1397,1047
351,1393,1048
352,1399,1047
353,1397,1048
354,1405,1043
355,1405,1048
356,1412,1046
357,1417,1042
358,1422,1037
359,1419,1041
360,1416,1040
361,1421,1035
362,1424,1038
363,1418,1042
364,1412,1041
365,1411,1044
366,1417,1048
367,1421,1052
368,1426,1056
369,1432,1059
370,1431,1065
371,1429,1067
372,1437,1062
373,1432,1066
374,1430,1063
375,1435,1067
376,1443,1064
377,1440,1070
378,1434,1070
379,1434,1075
380,1429,1073
381,1435,1073
382,1432,1069
383,1436,1064
384,1433,1069
385,1435,1069
386,1436,1067
387,1444,1065
388,1444,1067
389,1446,1066
390,1448,1064
391,1444,1062
392,1447,1058
393,1451,1056
394,1453,1055
395,1450,1057
396,1458,1060
397,1454,1059
398,1455,1056
399,1458,1059
400,1455,1055
401,1455,1051
402,1456,1046
403,1462,1041
404,1458,1039
405,1454,1045
406,1460,1041
407,1462,1044
408,1461,1041
409,1464,1041
410,1467,1038
411,1472,1044
412,1468,1043
413,1463,1045
414,1464,1047
415,1464,1053
416,1467,1059
417,1472,1056
418,1473,1056
419,1480,1062
420,1477,1067
421,1477,1070
422,1482,1069
423,1477,1067
424,1475,1071
425,1474,1069
426,1480,1074
427,1475,1072
428,1480,1068
429,1481,1063
430,1485,1063
431,1487,1067
432,1483,1063
433,1483,1060
434,1481,1056
435,1489,1056
436,1483,1052
437,1489,1055
438,1494,1050
439,1496,1056
440,1502,1058
441,1496,1058
442,1492,1053
443,1497,1055
444,1491,1055
445,1499,1055
446,1502,1055
447,1505,1051
448,1513,1050
449,1511,1053
450,1512,1048
451,1517,1043
452,1513,1038
453,1518,1037
454,1521,1038
455,1523,1043
456,1527,1049
457,1526,1052
458,1525,1047
459,1529,1048
460,1533,1044
461,1534,1049
462,1529,1045
463,1532,1049
464,1526,1044
465,1521,1044
466,1521,1043
467,1518,1044
468,1519,1042
469,1513,1037
470,1514,1032
471,1516,1032
472,1522,1032
473,1523,1028
474,1526,1033
475,1524,1029
476,1518,1025
477,1519,1029
478,1514,1033
479,1508,1032
480,1509,1038
481,1517,1035
482,1514,1040
483,1508,1037
484,1512,1035
485,1509,1041
486,1503,1043
487,1508,1044
488,1502,1039
489,1501,1044
490,1502,1039
491,1504,1041
492,1506,1043
493,1502,1049
494,1503,1045
495,1498,1043
496,1501,1038
497,1509,1042
498,1511,1039
499,1511,1045
500,1511,1042
501,1506,1044
502,1512,1048
503,1513,1046
504,1515,1048
505,1515,1045
506,1521,1050
507,1527,1055
508,1528,1052
509,1534,1052
510,1542,1052
511,1545,1052
512,1548,1048
513,1550,1049
514,1554,1054
515,1548,1056
516,1542,1055
517,1537,1061
518,1535,1060
519,1538,1064
520,1544,1063
521,1539,1063
522,1547,1069
523,1541,1064
524,1543,1063
525,1544,1064
526,1544,1069
527,1543,1075
528,1550,1075
529,1556,1076
530,1554,1078
531,1557,1080
532,1562,1083
533,1557,1087
534,1551,1087
535,1558,1092
536,1552,1093
537,1553,1088
538,1552,1086
539,1554,1092
540,1562,1090
541,1558,1092
542,1555,1095
543,1563,1099
544,1571,1095
545,1577,1098
546,1579,1103
547,1587,1100
548,1590,1104
549,1588,1104
550,1588,1108
551,1596,1111
552,1593,1116
553,1591,1119
554,1596,1123
555,1597,1119
556,1602,1125
557,1607,1124
558,1609,1123
559,1603,1122
560,1610,1128
561,1617,1124
562,1619,1127
563,1622,1122
564,1616,1127
565,1612,1132
566,1609,1138
567,1608,1142
568,1607,1145
569,1606,1146
570,1604,1148
571,1602,1150
572,1596,1145
573,1590,1140
574,1598,1143
575,1595,1146
576,1601,1143
577,1606,1145
578,1610,1145
579,1612,1150
580,1609,1154
581,1606,1155
582,1601,1155
583,1605,1157
584,1604,1154
585,1599,1160
586,1605,1159
587,1607,1164
588,1612,1168
589,1615,1171
590,1612,1172
591,1618,1177
592,1618,1183
593,1625,1183
594,1624,1179
595,1624,1179
596,1622,1182
597,1616,1188
598,1621,1183
599,1622,1181
600,1618,1180
601,1616,1181
602,1610,1177
603,1612,1178
604,1610,1173
605,1607,1178
